ID,Nome,Marca,Expositor,Categoria,Valor,Ficha Técnica,Foto
21,Fish hook,"DALIAN SHASHAMAI FISH TOOLS CO., LTD",80 / WANFAIR,Acessórios de pesca,0.0,"Vara para molinete, DALIAN SHASHAMAI FISH TOOLS CO., LTD WAS SET UP IN 1997. IT IS ONE OF BIG AND RELIABLE SUPPLIER OF FISHING HOOKS, LURES, LINE, AND OTHER ACCESSORIES IN CHINA. WE HAVE OVER 25 YEARS EXPERIENCE IN FISHING BUSINESS AND ENJOY HIGH REPUTATION. OUR CUSTOMERS ARE ALL OVER THE WORLD, LIKE USA, CANADA,JAPAN, SPAIN, ITALY AND SO ON. WE HOPE WE CAN HAVE CHANCE TO MEET AND COOPERATE WITH CUSTOMER IN SOUTH AMERICA.",static/uploads/Fish_hook.png
22,CAIXA COZINHA PORTATIL RONDON,BARCOS E CARRETAS RONDON,46 / BARCOS RONDON,Acessórios náuticos,3500.0,"Dimensões: 55 x 35 x 43 cm. Peso: aproximadamente 13 Kg. Material: Alumínio/ pintura eletrostática; Acessórios: 1 Fogão Inox, 1 Frigideira, 1 Caçarola, 1 escumadeira, 6 copos de acrílico, 6 pratos de melanine, 3 porta mantimentos, 4 porta tempero inox, 6 garfos e 6 facas",static/uploads/CAIXA.jpeg
23,Guarda-Sol Tipo Ombrelone Valência Azul,KALA,33 / KALA,Esporte Outdoor e Camping / Cutelaria,271.99,"A solução ideal para uma proteção solar eficiente, este guarda-sol tem design elegante e é fácil de manusear. Pesando 3,2 kg e com 2,20 m de altura e 2,40 de envergadura, bloqueia acima de 98% da radiação ultravioleta (FPS: UV 50+). É ideal para garantir momentos confortáveis e agradáveis ao ar livre sob o sol, incluindo passeios na praia e experiências em piscina ou camping.",static/uploads/Guarda_01.jpg
24,CAIXA MULTIFUNÇÃO MB-500,ALBATROZ,ALBATROZ FISHING,Acessórios de pesca,690.0,"Compartimento com até 3 divisões e 2 divisores modulares; bandeja móvel removível; alça adicional de tecido; trava de segurança; clipe de encaixe lateral; disponível em duas cores; construída em plástico PP. Material: polipropileno. Dimensões aproximadas: 29x44,5x23,5 cm. Peso: 2,6 kg. Cores: azul e verde.",static/uploads/MB-500.JPG
25,BOLSA PLANO ATLAS TACKLE BAG,AQUABRAZIL,PLANO,Acessórios de pesca,2999.0,"Bolsa Plano com três estojos 3750 (comporta até 4), de construção inovadora em EVA, área magnética (DropZone) para segurar alicates entre outros acessórios de metal no topo, base moldada à prova d'água, bolsos internos com zíper e laterais moldados.",static/uploads/TACKLE_BAG.JPG
26,SMART HEAD AUTOBOAT,AUTOBOAT,AUTOBOAT INDUSTRIA E COMÉRCIO DE PRODUTOS NAÚTICOS LTDA,Acessórios de pesca,2670.0,"Função nova: AutoPoint Jog - compatível com motores elétricos até 54/55 lbs - manuseio apenas pelo controle remoto ou aplicativo. Controle remoto com alcance de 100m com funções de liga/desliga, velocidade, direção, âncora, norte e cruzeiro. Rotação 360º com acoplador mecânico. GPS via satélite. Regulador de profundidade AutoBoat. Bluetooth (compatível com app). Indicado para água doce e salgada. Velocidades: 10 frente. Design revolucionário. 12 volts.",static/uploads/SMART_HEAD.JPG
27,CAIXA ORGANIZADORA BRK PARA ISCAS,BRK,BRK FISHING,Acessórios de pesca,189.9,"Com a nossa caixa organizadora de iscas artificiais, você vai armazenar até 80 iscas artificiais com total segurança e organização. Material: plástico de alta qualidade, resistente a impactos e desgaste. Capacidade: até 80 iscas artificiais. Dimensões: 42 cm x 21 cm x 18 cm. Segurança: tampa com fechamento seguro, protegendo contra elementos externos. Compartimentos modulares: possibilidade de ajustar o tamanho dos compartimentos para se adequar a diferentes tipos e tamanhos de iscas.",static/uploads/BRK_ISCAS.JPG
28,POWER WRAP MACHINE,CUSTOM BY MARCOS,CUSTOM BY MARCO,Acessórios de pesca,3950.0,Torno profissional para montagem de vara de pesca. Com velocidade controlada e disponível modo para resinar e atar passadores na mesma máquina.,static/uploads/POWER_WRAP.JPG
29,ÓCULOS EXP 002 FLOATING STYLE,EXPRESS POLARIZADO,EXPRESS POLARIZADOS,Acessórios de pesca,238.0,"O óculos EXP 002 Floating foi construído a partir de uma resina especialmente formulada e moldada por injeção com uma densidade menor que a da água, permitindo que flutuem. Tipo de lente: polarizada. Espessura: 1.1mm. Proteção da lente: 100% de proteção contra raios UVA/UVB. Acompanha: box, estojo em couro sintético, bag de microfibra e certificado.",static/uploads/EXP_OO2.JPG
30,ÓCULOS ZEQUE STEALTH,GRUPO WAKOKU / FLÓRIDA MARINE,ZEQUE,Acessórios de pesca,2800.0,"O melhor polarizado do mundo! A Zeque é uma das marcas mais renomadas do Japão quando o assunto são óculos polarizados. A marca procura desenvolver seus produtos com os principais pescadores profissionais utilizando as mais recentes tecnologias. Proporcionam campo de visão claro e um design especial. Cada peça é meticulosamente montada, cada detalhe no desenho tem um significado funcional, combinando com leveza.",static/uploads/OCULOS_STEALTH.JPG
